brand,name,release_year,launch_price,pixel_rate,texture_rate,fp16,fp32,fp64,memory_size,source_url
AMD,AMD Radeon Instinct MI300,2023,,0 MPixel/s,"1,496.0 GTexel/s",383.0 TFLOPS (8:1),47.87 TFLOPS,47.87 TFLOPS (1:1),128 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi300.c4019
AMD,AMD Radeon Instinct MI300A,2023,,0 MPixel/s,"2,553.6 GTexel/s",653.7 TFLOPS (8:1),81.72 TFLOPS,81.72 TFLOPS (1:1),192 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi300a.c4296
AMD,AMD Radeon Instinct MI300X,2023,,0 MPixel/s,"2,553.6 GTexel/s",653.7 TFLOPS (8:1),81.72 TFLOPS,81.72 TFLOPS (1:1),192 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi300x.c4179
AMD,AMD Radeon Instinct MI308X,2023,,0 MPixel/s,"2,553.6 GTexel/s",653.7 TFLOPS (8:1),81.72 TFLOPS,81.72 TFLOPS (1:1),192 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi308x.c4295
AMD,AMD Radeon PRO W7500,2023,429,108.8 GPixel/s,190.4 GTexel/s,24.37 TFLOPS (2:1),12.19 TFLOPS,380.8 GFLOPS (1:32),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w7500.c4170
AMD,AMD Radeon PRO W7600,2023,599,156.2 GPixel/s,312.3 GTexel/s,39.98 TFLOPS (2:1),19.99 TFLOPS,624.6 GFLOPS (1:32),8 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w7600.c4169
AMD,AMD Radeon PRO W7700,2023,999,249.6 GPixel/s,499.2 GTexel/s,63.90 TFLOPS (2:1),31.95 TFLOPS,998.4 GFLOPS (1:32),16 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w7700.c4184
AMD,AMD Radeon PRO W7800,2023,2499,323.2 GPixel/s,707.0 GTexel/s,90.50 TFLOPS (2:1),45.25 TFLOPS,"1,414.0 GFLOPS (1:32)",32 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w7800.c4148
AMD,AMD Radeon PRO W7800 48 GB,2023,2499,323.2 GPixel/s,707.0 GTexel/s,90.50 TFLOPS (2:1),45.25 TFLOPS,"1,414.0 GFLOPS (1:32)",48 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w7800-48-gb.c4252
AMD,AMD Radeon PRO W7900,2023,3999,479.0 GPixel/s,958.1 GTexel/s,122.6 TFLOPS (2:1),61.32 TFLOPS,1.916 TFLOPS (1:32),48 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-w7900.c4147
AMD,AMD Radeon Instinct MI325X,2024,229192.14,0 MPixel/s,"2,553.6 GTexel/s",653.7 TFLOPS (8:1),81.72 TFLOPS,81.72 TFLOPS (1:1),288 GB,https://www.techpowerup.com/gpu-specs/radeon-instinct-mi325x.c4231
AMD,AMD Radeon PRO V710,2024,,192.0 GPixel/s,432.0 GTexel/s,55.30 TFLOPS (2:1),27.65 TFLOPS,864.0 GFLOPS (1:32),28 GB,https://www.techpowerup.com/gpu-specs/radeon-pro-v710.c4234
AMD,AMD Radeon AI PRO R9700,2025,8200,373.8 GPixel/s,747.5 GTexel/s,95.68 TFLOPS (2:1),47.84 TFLOPS,"1,495.0 GFLOPS (1:32)",32 GB,https://www.techpowerup.com/gpu-specs/radeon-ai-pro-r9700.c4290
